SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
185	11/11/2025	Nov	2025	P&L	Operative Expenses	Misc	Repar and Maintainance			Paid Electrician					350
186	11/12/2025	Nov	2025	P&L	Feeding Material-2	P&L	Dal			Dal 74X 30		74	74	30	2220
187	11/12/2025	Nov	2025	P&L	Feeding Material-2	P&L	Mita			Mitha 45 X 31		45	45	31	1395
188	11/12/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Wages			1 Mistry 700+2 Labour 2X 450					1600
189	11/12/2025	Nov	2025	P&L	Operative Expenses	P&L	Misc			Laxman Rekha					40
190	11/12/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Cement			Cement 1 Bags		1		310	310
190	11/12/2025	Nov	2025	BS	Rubber Mat	Rubber Mat	Rubber Mat			Online Order Cancelled					-1573
190	11/12/2025	Nov	2025	BS	Rubber Mat	Rubber Mat	Rubber Mat			Online Order Cancelled					-1583
190	11/12/2025	Nov	2025	BS	Rubber Mat	Rubber Mat	Rubber Mat			Online Order Cancelled					-1583
191	11/13/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pora					600
192	11/13/2025	Nov	2025	P&L	Feeding Material	P&L	Freight and Cartage-P			Pickup Charge					350
193	11/12/2025	Nov	2025	P&L	Staff Welfare	P&L	Staff Welfare			LPG Cylender 1 					953
194	11/15/2025	Nov	2025	P&L	Operative Expenses	P&L	Misc			Mount Rotate					501
195	11/16/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pora  2 pickup					1500
196	11/16/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pickup 1 pickup					500
197	11/16/2025	Nov	2025	P&L	Feeding Material	P&L	Freight and Cartage-P			Picup Bara 350x3					1050
198	11/15/2025	Nov	2025	P&L	Vehicls Running	P&L	Petrol			Petrol					560
199	11/15/2025	Nov	2025	P&L	Medicine	P&L	Medicine			Medicine for cow  Sanjeevni gold					345
200	11/16/2025	Nov	2025	P&L	Feeding Material	P&L	Freight and Cartage-P			Picup Bara 350x7					2450
201	11/16/2025	Nov	2025	P&L	Feeding Material	P&L	Freight and Cartage-P			Pora Medicine 52X 20					1040
202	11/17/2025	Nov	2025	P&L	Feeding Material	P&L	Freight and Cartage-P			Tractor Bara  2 X 500					1000
203	11/18/2025	Nov	2025	P&L	Operative Expenses	P&L	Oil			Muster Oil 1 Ltrs					185
204	11/18/2025	Nov	2025	P&L	Feeding Material	P&L	Loading/Unloading-P			Loading Charge 100X 12					1200
205	11/18/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pora					1500
206	11/18/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pora					500
207	11/18/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pora					400
208	11/18/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Wages			Wooden Takta Charge					2000
